nb_neigh_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_neigh_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
22,0.7333590039789503,0.7346938775510204,8.156256914138794,0.8124656677246094,8.968722581863403,40,0.8772438741382841,0.8775510204081632,10.656256675720215,0.7500030994415283,11.406259775161743,0.8333333333333334,0.8367346938775511,1.062497854232788
23,0.7942005084862227,0.7959183673469388,8.359370231628418,0.8597776889801025,9.21914792060852,41,0.8772438741382841,0.8775510204081632,10.750001430511475,0.7656245231628418,11.515625953674316,0.8333333333333334,0.8367346938775511,1.062497854232788
24,0.7743806956744962,0.7755102040816326,8.437501430511475,0.812495231628418,9.249996662139893,42,0.8772438741382841,0.8775510204081632,12.031243801116943,0.7500090599060059,12.78125286102295,0.8333333333333334,0.8367346938775511,1.062497854232788
25,0.7954064568971401,0.7959183673469388,8.593754053115845,0.8750028610229492,9.468756914138794,43,0.857023660528041,0.8571428571428571,12.484376668930054,0.75,13.234376668930054,0.8333333333333334,0.8367346938775511,1.062497854232788
26,0.7954064568971401,0.7959183673469388,8.609371423721313,0.8750011920928955,9.484372615814209,44,0.857023660528041,0.8571428571428571,11.781252145767212,0.7499887943267822,12.531240940093994,0.8333333333333334,0.8367346938775511,1.062497854232788
27,0.7726625533934505,0.7755102040816326,8.578123331069946,0.8593721389770508,9.437495470046997,45,0.857023660528041,0.8571428571428571,12.516071319580078,0.7816483974456787,13.297719717025757,0.8333333333333334,0.8367346938775511,1.062497854232788
28,0.7530406101834672,0.7551020408163265,8.546875953674316,0.8906540870666504,9.437530040740967,46,0.857023660528041,0.8571428571428571,13.109379768371582,0.7499988079071045,13.859378576278687,0.8333333333333334,0.8367346938775511,1.062497854232788
29,0.7954064568971401,0.7959183673469388,8.515621423721313,0.8437187671661377,9.359340190887451,47,0.857023660528041,0.8571428571428571,12.859790563583374,0.7656259536743164,13.62541651725769,0.8333333333333334,0.8367346938775511,1.062497854232788
30,0.7954064568971401,0.7959183673469388,8.515630722045898,0.7969098091125488,9.312540531158447,48,0.8367346938775511,0.8367346938775511,12.844194173812866,0.7656235694885254,13.609817743301392,0.8333333333333334,0.8367346938775511,1.062497854232788
31,0.7954064568971401,0.7959183673469388,8.49999713897705,0.8437151908874512,9.343712329864502,49,0.8367346938775511,0.8367346938775511,12.578222274780273,0.7656280994415283,13.343850374221802,0.8333333333333334,0.8367346938775511,1.062497854232788
32,0.7942005084862227,0.7959183673469388,8.500000953674316,0.828566312789917,9.328567266464233,50,0.8367346938775511,0.8367346938775511,12.515620946884155,0.7656230926513672,13.281244039535522,0.8333333333333334,0.8367346938775511,1.062497854232788
33,0.8363251655177122,0.8367346938775511,8.578126430511475,0.8281304836273193,9.406256914138794,51,0.8367346938775511,0.8367346938775511,12.187502145767212,0.7500026226043701,12.937504768371582,0.8333333333333334,0.8367346938775511,1.062497854232788
34,0.8363251655177122,0.8367346938775511,8.609376192092896,0.8281245231628418,9.437500715255737,52,0.8367346938775511,0.8367346938775511,12.437929153442383,0.7343795299530029,13.172308683395386,0.8333333333333334,0.8367346938775511,1.062497854232788
35,0.8338192419825073,0.8367346938775511,8.546874284744263,0.8593754768371582,9.406249761581421,53,0.8367346938775511,0.8367346938775511,13.0941801071167,0.7656183242797852,13.859798431396484,0.8333333333333334,0.8367346938775511,1.062497854232788
36,0.7743806956744962,0.7755102040816326,8.546872854232788,0.8593745231628418,9.40624737739563,54,0.8367346938775511,0.8367346938775511,12.640671730041504,0.7968766689300537,13.437548398971558,0.8333333333333334,0.8367346938775511,1.062497854232788
37,0.7333590039789503,0.7346938775510204,8.640625,0.7812461853027344,9.421871185302734,55,0.8367346938775511,0.8367346938775511,12.718749761581421,0.7656238079071045,13.484373569488525,0.8333333333333334,0.8367346938775511,1.062497854232788
38,0.7507288629737607,0.7551020408163265,8.656251907348633,0.8750011920928955,9.531253099441528,56,0.8367346938775511,0.8367346938775511,12.469240665435791,0.7499969005584717,13.219237565994263,0.8333333333333334,0.8367346938775511,1.062497854232788
39,0.7942005084862227,0.7959183673469388,8.687498569488525,0.8281233310699463,9.515621900558472,57,0.8367346938775511,0.8367346938775511,13.296875953674316,0.7656311988830566,14.062507152557373,0.8333333333333334,0.8367346938775511,1.062497854232788
40,0.7942005084862227,0.7959183673469388,8.640634775161743,0.7968766689300537,9.437511444091797,58,0.8367346938775511,0.8367346938775511,13.515621423721313,1.0468716621398926,14.562493085861206,0.8333333333333334,0.8367346938775511,1.062497854232788
41,0.7726625533934505,0.7755102040816326,8.67186427116394,0.7812559604644775,9.453120231628418,59,0.8367346938775511,0.8367346938775511,13.265621423721313,0.7812471389770508,14.046868562698364,0.8333333333333334,0.8367346938775511,1.062497854232788
42,0.7743806956744962,0.7755102040816326,8.750001668930054,0.796884298324585,9.546885967254639,60,0.8367346938775511,0.8367346938775511,13.468757390975952,0.7972733974456787,14.26603078842163,0.8333333333333334,0.8367346938775511,1.062497854232788
43,0.7942005084862227,0.7959183673469388,8.718751430511475,0.8281123638153076,9.546863794326782,61,0.8367346938775511,0.8367346938775511,13.711150884628296,0.765622615814209,14.476773500442505,0.8333333333333334,0.8367346938775511,1.062497854232788
44,0.692337312283404,0.6938775510204082,8.640622854232788,0.7968759536743164,9.437498807907104,62,0.857023660528041,0.8571428571428571,13.600733518600464,0.7812502384185791,14.381983757019043,0.8333333333333334,0.8367346938775511,1.062497854232788
45,0.7743806956744962,0.7755102040816326,8.687500953674316,0.8437480926513672,9.531249046325684,63,0.857023660528041,0.8571428571428571,13.029808282852173,0.7812495231628418,13.811057806015015,0.8333333333333334,0.8367346938775511,1.062497854232788
46,0.7530406101834672,0.7551020408163265,8.750000953674316,0.8125007152557373,9.562501668930054,64,0.857023660528041,0.8571428571428571,12.567033052444458,0.9687554836273193,13.535788536071777,0.8333333333333334,0.8367346938775511,1.062497854232788
47,0.7743806956744962,0.7755102040816326,8.812500476837158,1.0781261920928955,9.890626668930054,65,0.857023660528041,0.8571428571428571,13.17915654182434,0.7812466621398926,13.960403203964233,0.8333333333333334,0.8367346938775511,1.062497854232788
48,0.7333590039789503,0.7346938775510204,8.874995946884155,0.7812545299530029,9.656250476837158,66,0.857023660528041,0.8571428571428571,13.022357940673828,0.7656350135803223,13.78799295425415,0.8333333333333334,0.8367346938775511,1.062497854232788
49,0.7954064568971401,0.7959183673469388,8.828126907348633,0.7656209468841553,9.593747854232788,67,0.857023660528041,0.8571428571428571,12.937499284744263,0.8437399864196777,13.78123927116394,0.8333333333333334,0.8367346938775511,1.062497854232788
50,0.7313284721922596,0.7346938775510204,8.796875953674316,0.859384298324585,9.656260251998901,68,0.857023660528041,0.8571428571428571,13.468751430511475,0.9218716621398926,14.390623092651367,0.8333333333333334,0.8367346938775511,1.062497854232788
51,0.7959183673469388,0.7959183673469388,8.812495946884155,0.9687395095825195,9.781235456466675,69,0.857023660528041,0.8571428571428571,13.072039127349854,0.7812507152557373,13.85328984260559,0.8333333333333334,0.8367346938775511,1.062497854232788
52,0.7726625533934505,0.7755102040816326,8.765628576278687,0.8441576957702637,9.60978627204895,70,0.857023660528041,0.8571428571428571,12.953124523162842,0.7812504768371582,13.734375,0.8333333333333334,0.8367346938775511,1.062497854232788
53,0.775322895115493,0.7755102040816326,8.718747854232788,0.8124964237213135,9.531244277954102,71,0.857023660528041,0.8571428571428571,13.328126668930054,0.7656266689300537,14.093753337860107,0.8333333333333334,0.8367346938775511,1.062497854232788
54,0.775322895115493,0.7755102040816326,8.765626430511475,0.7812554836273193,9.546881914138794,72,0.857023660528041,0.8571428571428571,14.390622854232788,0.7812516689300537,15.171874523162842,0.8333333333333334,0.8367346938775511,1.062497854232788
